Name,Gene Product,Gene symbol,Chromosome,Region,Mid Log Control 1 TPM,Mid Log Control 2 TPM,Mid Log Control 3 TPM,Mid Log Control AVG TPM,Mid Log Exiguo 1 TPM,Mid Log Exiguo 2 TPM,Mid Log Exiguo 3 TPM,Mid Log Exiguo AVG TPM,Stationary Control 1 TPM,Stationary Control 2 TPM,Stationary Control 3 TPM,Stationary Control AVG TPM,Stationary Exiguo 1 TPM,Stationary Exiguo 2 TPM,Stationary Exiguo 3 TPM,Stationary Exiguo AVG TPM
MAE_RS00055,"product=""HNH endonuclease""",,NC_010296,8950..9396,6.925641769,12.3695034,10.70604011,10.00039509,13.51775036,13.65505382,10.05820054,12.4103349,12.34603554,11.48799919,13.65885887,12.4976312,11.9897506,8.88037327,12.96463584,11.27825324
MAE_RS00060,"product=""type II toxin-antitoxin system HicA family",,NC_010296,9551..9817,1.086995039,2.842342377,3.506790374,2.478709263,0.45261681,2.122780036,4.041362373,2.205586406,0.818582398,2.926717917,0,1.248433438,0,1.544638106,0,0.514879369
MAE_RS00065,"product=""type II toxin-antitoxin system HicB family",,NC_010296,9801..10013,1.816761661,5.089908884,2.930557214,3.27907592,5.106282601,4.298457082,0.844322186,3.416353956,1.282637913,1.572301175,1.042340574,1.299093221,1.258079465,2.178266061,0,1.145448509
lspA,"product=""signal peptidase II""",lspA,NC_010296,complement(10296..10763),7.441735266,8.107963831,9.558751256,8.369483451,13.42763202,10.34070216,8.454046502,10.74079356,6.538164541,5.486256021,5.692783137,5.905734567,2.576643519,2.643707527,1.516272167,2.245541071
MAE_RS00075,"product=""biotin transporter BioY""",,NC_010296,complement(10775..11428),52.06938926,66.64044925,77.46932477,65.39305443,78.9027368,85.86398061,69.29638784,78.02103508,41.02205531,31.23686416,29.36483779,33.87458575,30.73061077,29.5598032,27.30680976,29.19907458
bioB,"product=""biotin synthase BioB""",bioB,NC_010296,complement(11400..12494),121.0386348,117.7714274,134.6276574,124.4792398,142.5904157,155.442078,145.1864046,147.7396328,77.09532376,72.48523798,57.38013469,68.98689881,63.75016092,63.98134367,53.03213831,60.25454764
rfbC_1,"product=""dTDP-4-dehydrorhamnose 3,5-epimerase""",rfbC,NC_010296,12628..13173,27.10917847,29.58579455,32.39178166,29.69558489,23.46146694,31.62098883,28.65592386,27.91279321,1.901404994,2.249024208,2.846391569,2.33227359,3.435524692,1.888362519,2.815934025,2.713273745
rfbD,"product=""dTDP-4-dehydrorhamnose reductase""",rfbD,NC_010296,13179..14054,17.89074711,18.44046099,21.49577098,19.27565969,30.07421693,34.19208106,26.4833798,30.2498926,5.925611454,5.352285505,5.195639404,5.491178788,2.294271626,4.237175077,3.510273921,3.347240208
MAE_RS00095,"product=""glucose-1-phosphate thymidylyltransferase""",,NC_010296,14059..15132,13.51153051,20.69374967,19.95452971,18.05326996,45.68395476,47.90166724,39.01570369,44.2004419,11.95576178,11.74541185,8.47556819,10.7255806,9.231773054,7.872045318,6.276858524,7.793558965
leuB,"product=""3-isopropylmalate dehydrogenase""",leuB,NC_010296,15403..16488,86.76542536,93.19102927,87.17463242,89.04369568,100.2621253,100.5257687,103.9962365,101.5947102,83.82215921,96.11161461,91.68997812,90.54125065,93.02489787,93.80049579,86.57830302,91.13456556
MAE_RS00105,"product=""hypothetical protein""",,NC_010296,16569..16829,224.620653,245.6992626,239.9576177,236.7591778,264.8484661,276.6258291,267.3492825,269.6078593,163.5024251,160.8205063,144.1844557,156.169129,133.985463,191.000272,166.7550815,163.9136055
MAE_RS33890,"product=""hypothetical protein""",,NC_010296,16959..17105,0,0.368758705,0,0.122919568,0,0,0,0,0,0,0,0,0,0,0,0
uvrC,"product=""excinuclease ABC subunit UvrC""",uvrC,NC_010296,17110..18987,34.46260469,31.83754269,38.2790382,34.85972853,31.14524233,34.12672795,32.36748214,32.54648414,21.21024145,21.87491219,19.80197329,20.96237564,17.40812192,18.66643334,20.65618058,18.91024528
MAE_RS00115,"product=""hypothetical protein""",,NC_010296,complement(19057..19257),89.04165829,113.5391541,104.5523671,102.3777265,78.16084312,106.9359582,101.9991608,95.69865405,67.14513755,44.43119737,49.15335888,53.5765646,44.66182099,51.80877586,47.07232996,47.84764227
MAE_RS00120,"product=""hypothetical protein""",,NC_010296,19487..21079,7.10538565,7.724487898,5.028674291,6.619515946,11.68279848,11.13913679,9.14443859,10.65545795,3.327128929,4.765266837,3.066169449,3.719521738,4.625988992,3.81868865,2.969723265,3.804800302
MAE_RS00125,"product=""hypothetical protein""",,NC_010296,21326..21964,11.05196677,11.45229499,11.88503759,11.46309978,22.31634618,19.24071265,13.7905957,18.44921818,8.55091942,10.13260757,8.512448024,9.065325004,6.080717412,7.502916432,8.698988677,7.42754084
MAE_RS00130,"product=""hypothetical protein""",,NC_010296,22118..22411,3.290563213,5.900139278,6.015616595,5.068773028,11.09834892,7.859618075,2.446811233,7.134926075,1.85851616,1.898526928,2.26549533,2.007512806,2.278664336,2.104175379,2.413657735,2.26549915
MAE_RS00135,"product=""low molecular weight phosphotyrosine protein",,NC_010296,22414..22932,17.1489699,24.7537274,28.06333209,23.3220098,32.36602632,34.02205708,34.99788668,33.79532336,19.37153953,20.4338563,17.11125567,18.97221717,13.16620156,14.89950774,14.3563804,14.14069657
MAE_RS00140,"product=""response regulator transcription factor""",,NC_010296,complement(22947..23603),29.00804264,25.82489615,28.34433153,27.72575678,25.19980257,27.53947335,24.36197211,25.70041601,16.05112997,20.21974524,16.22053277,17.497136,21.6171371,16.47790308,13.68106759,17.25870259
MAE_RS00145,"product=""branched-chain amino acid ABC transporter",,NC_010296,23775..24890,75.4175859,77.8626075,74.2040195,75.82807097,76.45087265,88.25207794,88.95342771,84.5521261,54.88517964,54.31624299,34.81473558,48.00538607,46.70281819,45.59329473,44.19199687,45.4960366
MAE_RS00150,"product=""ABC transporter ATP-binding protein""",,NC_010296,25172..25924,29.2925675,34.6265893,40.89547836,34.93821172,38.51751019,38.44554367,50.39358831,42.45221406,22.13189164,25.05450437,18.28041119,21.82226907,17.25974755,21.63416438,15.70640492,18.20010562
hisH,"product=""imidazole glycerol phosphate synthase subunit",hisH,NC_010296,complement(25913..26551),97.49954249,97.13242787,127.1536214,107.2618639,114.4185546,118.9922087,120.4566319,117.9557984,76.87276558,76.1692569,58.89224245,70.64475498,51.79093796,62.60498012,59.41224181,57.9360533
MAE_RS31305,"product=""transposase family protein""",,NC_010296,complement(27220..27435),27.32081512,23.8412746,33.23333285,28.13180752,17.3440247,20.79009037,19.98229173,19.3721356,17.20159957,22.22331243,13.8761589,17.76702363,9.30454604,21.95745974,19.71153817,16.99118132
MAE_RS28065,"product=""Uma2 family endonuclease""",,NC_010296,27613..27804,1.511602476,1.6939853,2.167391273,1.790993016,2.517681004,2.497838527,0.936669925,1.984063152,1.138341148,1.162847744,0,0.767062964,1.395681906,0.805504637,2.463942271,1.555042938
MAE_RS00160,"product=""Uma2 family endonuclease""",,NC_010296,27819..28397,5.680910169,5.991851287,5.390403166,5.687721541,4.800552382,5.722791615,2.795450139,4.439598045,5.850955537,4.434486732,4.984872281,5.09010485,5.785209973,4.718949446,4.085292885,4.863150768
MAE_RS00165,"product=""Uma2 family endonuclease""",,NC_010296,28415..29074,13.92506523,13.30548454,10.40347811,12.54467596,8.056579214,11.29601027,8.719545483,9.357378321,12.58384396,14.03874367,9.755360194,12.12598261,12.18049663,8.670159003,10.9309439,10.59386651
MAE_RS00170,"product=""Rpn family recombination-promoting",,NC_010296,29158..29970,26.29779264,21.73635259,18.4268247,22.15365664,19.62118923,19.94919143,22.7842367,20.78487245,26.14404171,19.22346085,25.9431261,23.77020956,27.68703294,24.85670398,22.11183618,24.88519103
MAE_RS00175,"product=""DUF2887 domain-containing protein""",,NC_010296,29977..30327,20.67148685,18.68692616,13.63418784,17.66420028,19.28070239,18.75610841,21.5193911,19.8520673,24.12894057,26.39763767,37.00309039,29.17655621,22.90349795,25.70271207,29.31459523,25.97360175
MAE_RS00180,"product=""type II toxin-antitoxin system HicB family",,NC_010296,complement(30375..30608),13.64318132,14.13102268,16.44994402,14.74138267,9.812500325,12.11073225,12.29679491,11.40667583,17.51294073,20.9908926,16.60395082,18.36926139,18.32279836,25.77614839,23.75493062,22.61795912
MAE_RS00185,"product=""ISL3-like element ISMae36 family transposase""",,NC_010296,complement(30676..31890),9.395573579,5.889213094,7.021277408,7.435354694,7.658723451,7.679101341,4.292492298,6.54343903,11.78253356,13.78189918,12.69982608,12.75475294,13.45368435,14.42615712,13.33570731,13.73851626
MAE_RS00190,"product=""type II toxin-antitoxin system HicA family",,NC_010296,complement(32040..32210),0.565745956,0,0,0.188581985,0.706717475,0.764888353,0,0.490535276,0.319534357,1.305653607,1.298354049,0.974514004,0.783540719,0.904426259,0.691632918,0.793199966
MAE_RS00195,"product=""anacyclamide",,NC_010296,32581..32766,227.2930003,467.7585217,477.6650702,390.9055307,407.3770296,459.4264881,349.0455153,405.283011,301.9908903,216.6647925,215.4534779,244.7030536,200.9781945,222.0074716,141.1600476,188.0485712
MAE_RS33895,"product=""hypothetical protein""",,NC_010296,complement(32800..32937),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAE_RS00200,"product=""hypothetical protein""",,NC_010296,33058..33342,21.04574956,26.05765459,21.53702486,22.880143,32.22631686,22.18176223,29.65792773,28.02200227,10.92807502,13.70936287,13.63271751,12.75671847,13.16348408,13.02373813,10.78947353,12.32556525
MAE_RS00205,"product=""type II toxin-antitoxin system RelE",,NC_010296,33342..33638,18.56675364,30.4803281,22.41826933,23.82178369,24.41387641,25.68943205,24.22095968,24.77475605,11.40640827,10.90022935,8.970446155,10.42569459,10.37597861,9.720298382,11.94638677,10.68088792
MAE_RS27870,"product=""anacyclamide",,NC_010296,33842..33997,1106.337976,1755.489997,1543.849476,1468.55915,1706.600385,2074.288957,1978.246882,1919.712075,972.3184696,761.3969226,626.2061451,786.6405124,632.9954245,833.0983344,755.8616753,740.6518114
MAE_RS00210,"product=""hypothetical protein""",,NC_010296,34346..34738,61.04873918,109.2426551,98.74039021,89.6772615,114.6986277,116.1520916,123.0970185,117.9825793,33.92430413,38.91545426,36.15569137,36.33181659,27.2743945,33.71231621,37.61743926,32.86804999
MAE_RS00215,"product=""HNH endonuclease""",,NC_010296,34735..35178,27.018192,47.85890002,43.58213803,39.48641002,51.98671047,48.50839244,62.37715392,54.29075228,14.76766894,14.58273927,15.25127374,14.86722732,17.50260552,13.23640052,12.7858626,14.50828955
MAE_RS00220,"product=""DUF5838 family protein""",,NC_010296,35212..36108,20.92313973,33.53977585,27.48745053,27.3167887,44.45938362,39.17558608,41.50168283,41.71221751,11.33011122,14.56087609,16.70708095,14.19935609,14.33958132,12.24151529,11.20722906,12.59610856
MAE_RS00225,"product=""DUF29 domain-containing protein""",,NC_010296,36188..36508,8.739981917,12.15869823,10.37106852,10.42324956,15.43550223,15.89109167,16.8075351,16.04470967,6.298111771,7.998653639,5.18734912,6.494704843,6.678403139,6.58456127,6.631919385,6.631627931
MAE_RS00230,"product=""Uma2 family endonuclease""",,NC_010296,36517..37185,34.99506599,48.77867388,47.74092347,43.83822111,61.05658687,67.71148419,58.87159493,62.54655533,22.70556693,24.36244241,21.73724144,22.93508359,18.2252274,19.18762615,21.21421149,19.54235501
MAE_RS00235,"product=""DUF29 domain-containing protein""",,NC_010296,37228..37674,8.873478517,20.615839,16.05906017,15.18279256,39.74218606,31.60169598,31.7839137,34.37593191,7.456516512,12.73669475,9.685372653,9.959527971,6.594362831,8.88037327,7.40836334,7.627699814
MAE_RS00240,"product=""Uma2 family endonuclease""",,NC_010296,37710..38279,13.91735052,21.68301185,20.25940474,18.61992237,37.31468268,37.9384623,43.22485212,39.4926657,14.85834761,15.08029916,14.02222373,14.6536235,8.462239767,8.682492089,11.20445328,9.449728377
MAE_RS00245,"product=""S8 family serine peptidase""",,NC_010296,38311..38682,16.12375974,29.87242895,20.69509087,22.23042652,42.55693053,57.19390974,61.88064537,53.87716188,18.80098928,20.40610234,17.0094851,18.73885891,12.24598318,15.52112161,11.12748123,12.964862
MAE_RS00250,"product=""IS1634 family transposase""",,NC_010296,complement(39036..40694),1.107961791,0.980244658,3.386303906,1.824836785,1.09266445,1.734484619,3.468896937,2.098682002,0.790457506,0,2.676534567,1.155664024,1.534492946,0.466114799,1.639657786,1.213421844
MAE_RS00255,"product=""transposase""",,NC_010296,complement(40981..42468),0,0.473587288,0,0.157862429,0,0.293001587,0,0.097667196,0.734413644,0.525157046,0,0.419856896,0,0,0,0
MAE_RS34575,"product=""hypothetical protein""",,NC_010296,42552..42740,2.047461555,1.147249304,0.550448577,1.248386479,1.278822098,0.230680614,0,0.503167571,1.445512569,0.590652822,2.349402565,1.461855985,2.835671174,1.363817375,2.503052466,2.234180338
MAE_RS34580,"product=""hypothetical protein""",,NC_010296,42844..42987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAE_RS00265,"product=""S8 family serine peptidase""",,NC_010296,43175..44089,3.911994167,3.554592106,2.160285072,3.208957115,2.641501382,2.811278176,2.16201845,2.538266002,4.299570499,5.368162699,5.459472353,5.04240185,5.271559199,4.056574173,3.102143712,4.143425695
MAE_RS33050,"product=""hypothetical protein""",,NC_010296,44114..44263,1.934851169,1.084150592,2.080695622,1.699899128,2.416973764,0.290657574,1.198937504,1.302189614,0,2.232667668,0,0.744222556,1.78647284,1.718409893,0.788461527,1.431114753
MAE_RS00270,"product=""IS701-like element ISMae34 family transposase""",,NC_010296,45222..46385,0.166224327,0.651980597,0.446884799,0.421696574,0.103821897,0.337102857,0.463506767,0.301477174,0.563302836,0.767239748,0.667581528,0.666041371,0.230215572,0.132866744,0.101605867,0.154896061
MAE_RS00275,"product=""PatA",,NC_010296,46403..47488,1.247141638,0.598978228,0.862166694,0.902762187,1.112787184,0.802921475,1.324792822,1.080167161,3.018805254,3.700554146,1.635495708,2.784951702,0.493500784,1.09180739,0.435614103,0.673640759
MAE_RS00280,"product=""cyanobactin biosynthesis system PatB",,NC_010296,47617..47826,0.46067885,0,0.990807439,0.483828763,0,0.415225106,0.856383931,0.423869679,0,1.06317508,0,0.354391693,0.638026014,0.490974255,1.12637361,0.751791293
MAE_RS00285,"product=""cyanobactin biosynthesis PatC",,NC_010296,47950..48909,2.418563962,1.52458677,2.3841304,2.109093711,3.524753406,2.861160495,1.686005865,2.690639922,2.732018755,2.558265036,2.197058492,2.495780761,1.116545525,1.986911438,1.72475959,1.609405518
MAE_RS27875,"product=""anacyclamide",,NC_010296,49054..49209,250.5384206,322.4653044,385.4622018,319.4886423,351.7006695,339.2868221,313.5682703,334.8519206,261.2930758,223.9823654,149.4355573,211.5703328,211.2847685,243.2210925,222.1338725,225.5465778
MAE_RS00290,"product=""Uma2 family endonuclease""",,NC_010296,complement(49281..50072),133.9982154,132.0966315,162.488667,142.8611713,166.7772932,157.4945681,189.150557,171.1408061,124.3896418,125.3056538,105.6830688,118.4594548,117.0681065,124.8450823,154.5563788,132.1565226
MAE_RS00295,"product=""PatA",,NC_010296,50167..52235,3.039278057,3.615581965,3.821480601,3.492113541,3.971827356,5.331297698,6.432192506,5.245105853,2.588089299,2.913582747,2.0388363,2.513502782,2.978893812,2.142821422,2.229337812,2.450351015
MAE_RS00300,"product=""aldo",,NC_010296,52526..53551,67.60664173,52.56968028,51.10480475,57.09370892,63.13342776,63.86817747,55.21422716,60.7386108,47.07806197,39.49602161,37.54407125,41.37271828,33.69225092,31.10221414,34.46637376,33.08694627
MAE_RS00305,"product=""gamma-glutamylcyclotransferase""",,NC_010296,53548..53955,22.05161259,25.24370252,23.96879761,23.75470424,30.80456758,27.46286638,31.29579514,29.8544097,24.23997032,21.068065,19.04570829,21.45124787,18.71855733,17.81586727,18.26216036,18.26552832
MAE_RS00310,"product=""hypothetical protein""",,NC_010296,54015..54215,116.4761152,188.243063,214.2805939,172.999924,158.125398,163.332204,177.1564372,166.2046797,107.3778516,107.1902637,43.07822463,85.88211328,68.65921735,68.47991661,71.78530319,69.64147905
MAE_RS00315,"product=""transposase""",,NC_010296,54562..55750,361.7471951,291.1432162,360.5780765,337.8228293,346.5887526,296.8667435,321.4140701,321.6231887,285.1501492,322.506873,254.3223336,287.3264519,282.9583663,278.3130303,345.3580851,302.2098272
MAE_RS00320,"product=""DNA cytosine methyltransferase""",,NC_010296,55800..56585,33.72450511,40.75909669,41.95804785,38.81388322,37.82287188,38.99470889,32.0326814,36.28342073,40.45890369,35.08071972,30.08266509,35.2074295,31.02462374,37.64760604,29.04066311,32.5709643
MAE_RS00325,"product=""hypothetical protein""",,NC_010296,complement(56560..57051),4.91578041,4.076582512,6.132131407,5.041498109,6.140685377,4.430755703,4.386356722,4.9859326,7.774037107,9.302781949,5.640714999,7.572511352,3.540266298,5.23905455,4.086538401,4.28861975
MAE_RS00330,"product=""hypothetical protein""",,NC_010296,complement(57485..57727),1.194352574,3.12306755,1.284380014,1.867266712,1.989278818,1.255927789,3.700424395,2.315210334,0.449715021,1.378189918,0.913656553,0.913853831,1.102761012,0.848597478,2.920227877,1.623862122
MAE_RS28090,"product=""ISAzo13-like element ISMae28 family transposase""",,NC_010296,57926..59148,19.77566608,14.58240167,11.90913275,15.42240017,17.19351737,15.64987838,15.29307037,16.04548871,10.23110866,10.77084157,16.88284909,12.62826644,9.531263515,9.357816749,8.026448086,8.971842784
MAE_RS00345,"product=""helix-turn-helix domain-containing protein""",,NC_010296,complement(59333..59554),0.871554581,0.976712245,1.87450056,1.240922462,4.354907683,1.963902528,4.860557449,3.726455887,0.492255631,0,1.000083524,0.497446385,0.603538122,0.464435106,0.532744275,0.533572501
der,"product=""ribosome biogenesis GTPase Der""",der,NC_010296,59707..61065,64.35266582,58.1564225,48.38114912,56.96341248,60.46880646,65.73480898,47.63990082,57.94783875,51.18263245,54.78989457,47.54039428,51.17097376,62.30964871,63.27390068,59.17812784,61.58722575
MAE_RS00355,"product=""CbiQ family ECF transporter T component""",,NC_010296,61069..61944,56.4331591,51.17537328,40.97260215,49.52704484,46.49087663,42.95162439,36.54295817,41.99515306,28.19343555,37.46599854,29.27299274,31.64414228,35.1788316,42.84254801,39.42307634,39.14815198
MAE_RS33055,"product=""hypothetical protein""",,NC_010296,complement(62226..62417),1.007734984,3.952632368,3.792934728,2.91776736,2.517681004,1.589533608,1.87333985,1.993518154,0.853755861,1.162847744,1.156346575,1.05765006,6.97840953,2.416513911,3.079927839,4.15828376
MAE_RS34585,"product=""calcium-binding protein""",,NC_010296,62658..65234,577.0016001,489.8240336,500.9575471,522.5943936,761.9047875,724.9690168,701.287717,729.3871737,455.7817241,445.4938746,346.8985878,416.0580622,303.3260345,349.5033671,367.9334145,340.254272
MAE_RS00375,"product=""IS110-like element ISMae40 family transposase""",,NC_010296,complement(65472..66408),322.8537677,288.7982794,303.5550603,305.0690358,397.3690591,399.6929394,395.1887386,397.4169124,264.5713787,261.8678513,221.9000693,249.4464331,152.1457125,227.6663864,220.5083705,200.1068231
MAE_RS00380,"product=""DUF3318 domain-containing protein""",,NC_010296,67539..68150,94.37141732,92.29451937,102.1648749,96.2769372,87.67453851,83.84901096,85.2185971,85.58071552,59.64014798,69.49725339,62.03459271,63.72399803,67.21166198,54.83749216,60.48736713,60.84550709
recQ,"product=""DNA helicase RecQ""",recQ,NC_010296,68266..70377,8.29091055,10.24091113,11.23102751,9.92094973,9.441303767,10.81708585,13.28368257,11.18069073,4.941435437,4.70424769,4.415141467,4.686941531,4.440806065,4.662163203,2.407943583,3.83697095
MAE_RS33900,"product=""hypothetical protein""",,NC_010296,complement(70534..70674),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atpD,"product=""F0F1 ATP synthase subunit beta""",atpD,NC_010296,71388..72836,451.0646825,474.5496985,543.0055552,489.5399787,802.2384623,927.7874014,884.6818352,871.569233,715.5287215,677.5815093,648.8181626,680.6427978,369.1304128,405.836473,444.9991972,406.655361
MAE_RS00395,"product=""F0F1 ATP synthase subunit epsilon""",,NC_010296,72912..73328,277.9318586,316.1455924,401.9185428,331.9986646,549.7600996,633.0689249,596.8811171,593.2367139,499.2322041,437.4315311,494.3506393,477.0047915,304.6000453,312.7753258,339.4922474,318.9558728
MAE_RS00400,"product=""30S ribosomal protein PSRP-3""",,NC_010296,complement(73473..73796),358.9029484,435.3333088,455.3127148,416.516324,463.2533048,451.7303131,448.4914367,454.4916849,266.6247933,280.8061959,246.3446481,264.5918791,328.7606268,307.8817724,258.4401671,298.3608554
mutT,"product=""8-oxo-dGTP diphosphatase MutT""",mutT,NC_010296,73900..74304,16.243195,20.47840008,21.06383222,19.2618091,30.73435774,27.0203893,33.74787048,30.50087251,8.769442916,5.788397657,7.94881201,7.502217528,3.63911134,4.837005623,5.840455755,4.772190906
MAE_RS00410,"product=""DUF3134 domain-containing protein""",,NC_010296,74679..74942,479.3154033,500.5983227,489.8304277,489.9147179,516.8112462,505.1826814,479.5750016,500.5229764,355.9903226,375.071254,333.4483032,354.8366266,389.7758923,389.5713336,408.5664276,395.9712178
mraY,"product=""phospho-N-acetylmuramoyl-pentapeptide-",mraY,NC_010296,74988..76055,96.10847802,100.3955932,109.2949667,101.9330126,125.0353937,138.6338654,124.1035029,129.2575873,80.73268904,75.36298635,69.84853018,75.31473519,66.99273149,66.3711686,61.79235,65.05208336
MAE_RS00420,"product=""iron-sulfur cluster assembly accessory protein""",,NC_010296,complement(76056..76379),65.09221526,62.23827474,59.72367064,62.35138688,61.54331344,67.41640955,58.83674788,62.59882362,58.68781029,54.78304926,48.65221144,54.04102366,47.55656865,49.48384042,50.0089024,49.01643716
MAE_RS00425,"product=""type II toxin-antitoxin system Phd",,NC_010296,76941..77231,53.52423338,45.07980126,37.89583092,45.49995518,47.75807266,35.80781454,31.51846016,38.36144912,34.73700822,42.19818616,27.46621142,34.8004686,42.82009642,39.68286762,32.92030086,38.47442163
MAE_RS28105,"product=""right-handed parallel beta-helix",,NC_010296,complement(77349..82640),15.68501798,17.46482199,15.4715368,16.20712559,28.84200552,31.12540575,28.81799896,29.59513675,12.98896294,11.74977221,8.684398765,11.14104464,7.570229295,7.89065767,7.84438764,7.768424868
MAE_RS00435,"product=""hypothetical protein""",,NC_010296,complement(82782..83165),24.18563962,23.43346332,21.40298882,23.00736392,34.30340369,31.22298159,32.31511241,32.61383256,31.44667421,34.88543231,28.04140444,31.45783698,35.93880908,32.75718858,26.48737942,31.72779236
MAE_RS00440,"product=""hypothetical protein""",,NC_010296,complement(83219..84229),15.69315488,17.31852825,13.89188472,15.63452262,21.63562074,21.00151908,19.9229971,20.85337897,15.51116484,11.9252279,10.98014552,12.80551275,12.45759992,11.72802004,10.9963477,11.72732255
MAE_RS00445,"product=""DUF4347 domain-containing protein""",,NC_010296,complement(84226..84573),23.90764376,25.07877088,19.13283331,22.70641598,32.29577013,38.58729863,34.10770485,34.99692454,18.68449608,13.47299455,8.612788281,13.59009297,11.16545525,10.66599244,10.19562319,10.67569029
MAE_RS00450,"product=""Rpn family recombination-promoting",,NC_010296,complement(84709..85728),68.66824738,72.59557397,63.33882261,68.20088132,90.51803705,82.7519211,88.15716941,87.14237585,75.90726618,76.72058996,59.42260986,70.68348867,65.67914852,66.15878086,61.56956923,64.4691662
MAE_RS00455,"product=""DUF4347 domain-containing protein""",,NC_010296,complement(85782..86072),108.3782614,85.50259825,95.09708514,96.32598159,117.5263875,130.4962614,142.7600842,130.260911,76.04588286,69.8188171,45.39554388,63.75341462,48.34527015,52.96954205,56.49286198,52.60255806
MAE_RS00460,"product=""DUF3368 domain-containing protein""",,NC_010296,complement(86227..86724),24.47703286,23.83825097,25.90424269,24.73984217,17.22943145,19.96082135,20.22304224,19.13776501,15.47046765,17.03641996,14.71207208,15.73965323,12.64521438,14.28557622,12.111909,13.0142332
MAE_RS00465,"product=""UPF0175 family protein""",,NC_010296,complement(86721..86966),21.23617137,21.1541579,17.33913018,19.90981982,19.15893838,10.81104391,13.89012962,14.6200373,8.884613836,11.79865028,11.28143,10.65489804,14.70572155,11.73548219,13.94230749,13.46117041
MAE_RS33060,"product=""hypothetical protein""",,NC_010296,87102..87254,0.632304304,0.354297579,0.67996589,0.555522591,0.789860707,0,0,0.263286902,2.142759808,1.459259914,2.176652376,1.926224032,1.751443961,1.684715581,3.092005988,2.176055176
